Role,Company,Location,Date_Posted,Apply_Link
Associate Data Analyst - Promotions,Circle K,"Gurugram, Haryana, India",3 days ago,https://in.linkedin.com/jobs/view/associate-data-analyst-promotions-at-circle-k-4323094285?position=5&pageNum=15&refId=0Hvp09ObqAM%2F2neDnUhILw%3D%3D&trackingId=vYXU7aU81XZepdcoZitAlA%3D%3D
"PowerBI, SQL, Azure",Publicis Re:Sources,"Gurgaon, Haryana, India",Recent,https://in.linkedin.com/jobs/view/powerbi-sql-azure-at-publicis-re-sources-4262175196?position=6&pageNum=15&refId=0Hvp09ObqAM%2F2neDnUhILw%3D%3D&trackingId=I%2BJe90U0PjfhWHPeifuDMQ%3D%3D
4605084-Assistant Manager,EXL,"Gurugram, Haryana, India",4 days ago,https://in.linkedin.com/jobs/view/4605084-assistant-manager-at-exl-4304155907?position=7&pageNum=15&refId=0Hvp09ObqAM%2F2neDnUhILw%3D%3D&trackingId=XPdTufkGFb5KkdY1MKe%2FOQ%3D%3D
Data Annotator,Samsara,"Bengaluru, Karnataka, India",2 days ago,https://in.linkedin.com/jobs/view/data-annotator-at-samsara-4341412654?position=8&pageNum=15&refId=0Hvp09ObqAM%2F2neDnUhILw%3D%3D&trackingId=AEHyuY1z2GloJbddSkfeYQ%3D%3D
Analyst - Central POD,slice,"Bengaluru, Karnataka, India",3 days ago,https://in.linkedin.com/jobs/view/analyst-central-pod-at-slice-4336866464?position=9&pageNum=15&refId=0Hvp09ObqAM%2F2neDnUhILw%3D%3D&trackingId=Hfzd7qtunV2Bh22jIS05Vw%3D%3D
Analyst - Reporting and Automation [T500-20904],MUFG,"Mumbai, Maharashtra, India",1 week ago,https://in.linkedin.com/jobs/view/analyst-reporting-and-automation-t500-20904-at-mufg-4315163375?position=10&pageNum=15&refId=0Hvp09ObqAM%2F2neDnUhILw%3D%3D&trackingId=y7xcFLbdtXmKluTAjlGcAw%3D%3D
Healthcare Research & Data Analyst,Clarivate,"Karnataka, India",Recent,https://in.linkedin.com/jobs/view/healthcare-research-data-analyst-at-clarivate-4310864267?position=1&pageNum=17&refId=kg4ZYLbJGpZzamivegW2Fw%3D%3D&trackingId=QeT8JOXGY%2BxFO5hGSCy8yw%3D%3D
Azure Data Analyst,Tata Consultancy Services,"Hyderabad, Telangana, India",1 week ago,https://in.linkedin.com/jobs/view/azure-data-analyst-at-tata-consultancy-services-4322702714?position=2&pageNum=17&refId=kg4ZYLbJGpZzamivegW2Fw%3D%3D&trackingId=0wRv5ugk%2Bhgb7HR5cdI6rQ%3D%3D
Data Science Intern,Shink,India,3 days ago,https://in.linkedin.com/jobs/view/data-science-intern-at-shink-4340927436?position=3&pageNum=17&refId=kg4ZYLbJGpZzamivegW2Fw%3D%3D&trackingId=aLRNVEcCMe9irq9OsSMHNw%3D%3D
ML Data Associate-II,Amazon,"Chennai, Tamil Nadu, India",5 days ago,https://in.linkedin.com/jobs/view/ml-data-associate-ii-at-amazon-4264263866?position=4&pageNum=17&refId=kg4ZYLbJGpZzamivegW2Fw%3D%3D&trackingId=%2BTXTSr7HYmn3utDNUF%2Fp0A%3D%3D
